TC ID,Test case name,Input length type,Input,Expected output,Actual output,Status,Accuracy justification/ Description of issue type,What is covered by the test
Pos_Fun_0015,Convert future tense with time marker,S,api labana maase yamu,අපි ලබන මාසෙ යමු,,,· Future time marker is properly converted.,Daily language usage · Future tense · S · Accuracy validation
Pos_Fun_0016,Convert sentence with singular pronoun,M,mama vitharak heta colombo yanavaa mokadha mata office ekee vaedakata yanna velaa thiyenavaa,මම විතරක් හෙට colombo යනවා මොකද මට office එකේ වැඩකට යන්න වෙලා තියෙනවා,,,· Singular pronoun is correctly mapped.,Daily language usage · Pronoun variation (I/you/we/they) · M · Accuracy validation
Pos_Fun_0017,Convert sentence with plural pronoun,S,api okkoma yanavaa,අපි ඔක්කොම යනවා,,,· Plural pronoun is correctly converted.,Daily language usage · Plural form · S · Accuracy validation
Pos_Fun_0018,Convert with English brand name preserved,S,api Skype call ekak gamudha,අපි Skype call එකක් ගමුද,,,· English brand terms remain unchanged.,Mixed Singlish + English · Interrogative (question) · S · Accuracy validation
Pos_Fun_0019,Convert with English context words,S,mama dhaen innee Bus stand ekee,මම දැන් ඉන්නේ Bus stand එකේ,,,· English words in context are preserved.,Mixed Singlish + English · Simple sentence · S · Accuracy validation
Pos_Fun_0020,Convert with English abbreviations,S,magee ID eka naethi vunaa,මගේ ID එක නැති වුනා,,,· English abbreviations remain in output.,Mixed Singlish + English · Simple sentence · S · Accuracy validation
Pos_Fun_0021,Convert with punctuation marks,M,oyaata puluvandha mata udhav karanna? mama hithuve nae meeka mechchara amaruyi kiyala! anith eka oyage phone eka vaeda dha?,ඔයාට පුලුවන්ද මට උදව් කරන්න? මම හිතුවෙ නැ මේක මෙච්චර අමරුයි කියල! අනිත් එක ඔයගෙ phone එක වැඩ ද?,,,· Question punctuation is correctly preserved.,Punctuation / numbers · Simple sentence · M · Accuracy validation
Pos_Fun_0022,Convert with currency and numbers,S,Rs. 1500 k dhenna,Rs. 1500 ක් දෙන්න,,,· Currency symbols and numbers are preserved.,Punctuation / numbers · Imperative (command) · S · Accuracy validation
Pos_Fun_0023,Convert long paragraph input,L,"shri laQQkavee ithihaasaya vasara 3000 kata vadaa paeraNi vee. eya bohomayak aagamika haa saQQskRUthika urumayan gen yuktha vee. api apee rata arakshaa kara gatha yuthuya. meya lookaya puraa visirunu shri laaQQkikayan hata mahath aBhimanayak gena dhun karunak viya. shri laQQkaavee sAUvundharya, vidheeshikayin bohoo pirisakagee aakarshanaya dhinaa ganiimata samath vii aetha. apagee kaeema, biima saha aagamika sThaana vaedhagathkamakin yuktha vee.","ශ්‍රි ලංකවේ ඉතිහාසය වසර 3000 කට වඩා පැරණි වේ. එය බොහොමයක් ආගමික හා සංස්කෘතික උරුමයන් ගෙන් යුක්ත වේ. අපි අපේ රට අරක්ශා කර ගත යුතුය. මෙය ලෝකය පුරා විසිරුනු ශ්‍රි ලාංකිකයන් හට මහත් අභිමනයක් ගෙන දුන් කරුනක් විය. ශ්‍රි ලංකාවේ සෞවුන්දර්ය, විදේශිකයින් බොහෝ පිරිසකගේ ආකර්ශනය දිනා ගනීමට සමත් වී ඇත. අපගේ කෑම, බීම සහ ආගමික ස්ථාන වැදගත්කමකින් යුක්ත වේ.",,,"· Complex paragraph structure is preserved.,· Multiple sentences are correctly converted.,· English numbers remain in Sinhala context.",Formatting (spaces / line breaks / paragraph) · Complex sentence · L · Robustness validation
Pos_Fun_0024,Convert with present continuous tense,S,mama dhaen oyaa balan inna,මම දැන් ඔයා බලන් ඉන්න,,,· Present continuous tense is correctly expressed.,Daily language usage · Present tense · S · Accuracy validation
Pos_Fun_0025,Convert request with varying politeness,S,karuNaakara meeka kiyanna,කරුණාකර මේක කියන්න,,,· Polite request form is properly converted.,Greeting / request / response · Imperative (command) · S · Accuracy validation
Pos_Fun_0026,Convert sentence with place names,S,api Colombo yanna hadhannee,අපි Colombo යන්න හදන්නේ,,,· English place names remain unchanged.,Names / places / common English words · Simple sentence · S · Accuracy validation
Pos_Fun_0027,Convert with multiple spaces,S,oyaa   kohedha   yanne,ඔයා   කොහෙද   යන්නෙ,,,· Multiple spaces are preserved in output.,Formatting (spaces / line breaks / paragraph) · Simple sentence · S · Formatting preservation
Pos_Fun_0028,Convert with line breaks,M,"suba udhaeesanak.
adha dhavasa kohomadha?","සුබ උදෑසනක්.
අද දවස කොහොමද?",,,"· Line breaks are preserved.,· Multi-line input is handled correctly.",Formatting (spaces / line breaks / paragraph) · Complex sentence · M · Formatting preservation
Pos_Fun_0029,Convert repeated emphasis pattern,S,ikmanata ikmanata,ඉක්මනට ඉක්මනට,,,· Repeated words for emphasis are correctly converted.,Word combination / phrase pattern · Simple sentence · S · Accuracy validation
Neg_Fun_0001,Input containing unexpected punctuation,S,Mata hari badag%iniyi,මට හරි බඩගිනියි,,Fail,· Punctuation inside word is tested.,Typographical error handling · Simple sentence · S · Robustness validation
Neg_Fun_0002,Input with typo (missing vowel),S,Amma bth uyanava,අම්මා බත් උයනවා,,Fail,· Missing vowel 'a' (bth instead of bath) is literal transliterated.,Typographical error handling · Simple sentence · S · Robustness validation
Neg_Fun_0003,Input containing numeric typo,S,Eyaata sal3li nae,එයාට සල්ලි නෑ,,Fail,· Number '3' mixed within word 'salli'.,Typographical error handling · Simple sentence · S · Robustness validation
Neg_Fun_0004,Invalid English mixing causes partial conversion,S,happy birthday kiyanna,හැපි බර්ත්ඩේ කියන්න,,Fail,· English phrase "happy birthday" is not transliterated to Sinhala.,Mixed Singlish + English · Imperative (command) · S · Robustness validation
Neg_Fun_0005,Malformed Singlish with wrong consonant,S,meeka hari dhiga kathavak,මේක හරි දිග කතාවක්,,Fail,· Incorrect consonant "dh" for "ද" produces wrong output.,Typographical error handling · Simple sentence · S · Robustness validation
Neg_Fun_0006,Excessive vowel repetition,S,oyaa kohedha yaaaaaanavaa,ඔයා කොහෙද යනවා,,Fail,· Excessive vowels may not convert correctly or produce errors.,Typographical error handling · Simple sentence · S · Robustness validation
Neg_Fun_0007,Non-standard romanization using 'z',S,mata roza malak oone,මට රෝස මලක් ඕනෙ,,Fail,· Non-standard 'z' for 'ස' may not convert properly.,Typographical error handling · Simple sentence · S · Robustness validation
Neg_Fun_0008,Incorrect hal character placement,S,apee ballla vathura bonavaa,අපේ බල්ලා වතුර බොනවා,,Fail,· Incorrect consonant doubling may produce wrong output.,Typographical error handling · Simple sentence · S · Robustness validation
Neg_Fun_0009,Mixed case Singlish input,S,BoHoMa SthUthi,බොහොම ස්තූති,,Fail,· Mixed case may not be recognized correctly.,Formatting (spaces / line breaks / paragraph) · Simple sentence · S · Robustness validation
Neg_Fun_0010,Special symbol in text,S,mama & oyaa,මම සහ ඔයා,,Fail,· Special symbol "&" is not converted to Sinhala "සහ".,Punctuation / numbers · Simple sentence · S · Robustness validation
Neg_Fun_0011,Stress test joined words,S,apikaemakannayanavaa,අපිකෑමකන්නයනවා,,,· System handles missing spaces by not separating words (expected behavior for joined input).,Typographical error handling · Simple sentence · S · Robustness validation
Pos_UI_0001,Sinhala output updates automatically in real-time,S,api,අපි,,Pass,· Sinhala output appears immediately while typing.,Usability flow (real-time conversion) · Simple sentence · S · Real-time output update behavior
Pos_UI_0002,Input field clear functionality,S,suba rathriyak (enter then clear),(Input field should clear when clear button is clicked),,Pass,· Clear button should remove all text from input and output fields.,Empty/cleared input handling · Simple sentence · S · Real-time output update behavior
Neg_UI_0001,Output does not update correctly after deleting part of the input,M,mama gedhara yanavaa saha passe kaema kanavaa,mama gedhara yanavaa,Sinhala output continues to show the full previous translation even after part of the input is deleted,Fail,Real-time synchronization between input and output breaks when text is removed. UI does not react immediately to delete/backspace actions. Indicates a flaw in real-time output update handling.,Formatting (spaces / line breaks / paragraph) · Compound sentence · M (31–299 characters) · Real-time output update behaviorv
